_b_tipo_prop,_c_tipo_oper,_d_prov_data,_e_partido_data,_f_localidad_data,_g_barrio_data,_h_dormi,_i_currency,_j_prop_price,_k_sup_prop,_l_old_prop,_m_dispo_prop,_n_bath_amount,_o_link_prop,_z_title
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,2,USD,230000,2,1,,,https://www.argenprop.com/departamento-en-venta-en-olivos-3-ambientes--7914676,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,2,USD,329000,61 m²,A Estrenar,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-3-ambientes--5509329,"Departamento en Venta en Olivos Vias/Maipu, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,105000,"43,98 m²",Frente,1,,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--6486451,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,,USD,149000,32 m²,7 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-1-ambiente--6339985,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,1,USD,95000,41 m²,Apto Profesional,Interno,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-2-ambientes--5174668,"Departamento en Venta en Olivos Vias/Rio, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,2,USD,165000,58 m²,30 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-3-ambientes--6127608,"Departamento en Venta en Olivos Vias/Maipu, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,320000,62 m²,1,,,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--6429150,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,168000,50 m²,30 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--5358727,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Golf,2,USD,123000,55 m²,40 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-golf-3-ambientes--5494069,"Departamento en Venta en Olivos Golf, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Maipu/Uzal,2,USD,150000,53 m²,A Estrenar,Apto Profesional,Contrafrente,https://www.argenprop.com/departamento-en-venta-en-olivos-maipu-uzal-3-ambientes--7758049,"Departamento en Venta en Olivos Maipu/Uzal, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Maipu/Uzal,2,USD,250000,60 m²,10 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-maipu-uzal-3-ambientes--6424760,"Departamento en Venta en Olivos Maipu/Uzal, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Maipu/Uzal,1,USD,135000,46 m²,A Estrenar,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-maipu-uzal-2-ambientes--7390110,"Departamento en Venta en Olivos Maipu/Uzal, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,1,USD,140000,47 m²,15 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-2-ambientes--7726424,"Departamento en Venta en Olivos Vias/Maipu, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,3,USD,728000,140 m²,A Estrenar,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-4-ambientes--7631676,"Departamento en Venta en Olivos Vias/Rio, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,3,USD,318000,98 m²,8 años,Contrafrente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-4-ambientes--6641668,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,2,USD,490000,85 m²,7 años,Lateral,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-3-ambientes--7367479,"Departamento en Venta en Olivos Vias/Maipu, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,1,USD,180000,55 m²,9 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-2-ambientes--7371049,"Departamento en Venta en Olivos Vias/Maipu, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,219000,70 m²,A Estrenar,Contrafrente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--7407059,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,3,USD,589000,120 m²,5 años,Contrafrente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-4-ambientes--7407111,"Departamento en Venta en Olivos Vias/Rio, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,2,USD,187500,2,Contrafrente,1,,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-3-ambientes--6675614,"Departamento en Venta en Olivos Vias/Maipu, Olivos"
