_b_tipo_prop,_c_tipo_oper,_d_prov_data,_e_partido_data,_f_localidad_data,_g_barrio_data,_h_dormi,_i_currency,_j_prop_price,_k_sup_prop,_l_old_prop,_m_dispo_prop,_n_bath_amount,_o_link_prop,_z_title
Casa,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Barrancas Del Lago,4,USD,580000,228 m²,5,,,https://www.argenprop.com/casa-en-venta-en-nordelta-barrancas-del-lago--6008221,"Casa en Venta en Nordelta Barrancas Del Lago, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Otros barrios de Nordelta,2,USD,390000,104 m²,10 años,Frente,3,https://www.argenprop.com/departamento-en-venta-en-otros-barrios-de-nordelta-3-ambientes--6008287,"Departamento en Venta en Otros barrios de Nordelta, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,,1,USD,120000,50 m²,1,,,https://www.argenprop.com/departamento-en-venta-en-nordelta-2-ambientes--4374381,"Departamento en Venta en Nordelta, Tigre"
Departamento,Alquiler,Buenos Aires,Tigre,Nordelta,,2,$,45000,120 m²,2,,,https://www.argenprop.com/departamento-en-alquiler-en-nordelta-3-ambientes--7823773,"Departamento en Alquiler en Nordelta, Tigre"
Departamento,Alquiler,Buenos Aires,Tigre,Nordelta,Nordelta Bahía Grande,1,$,45000,51 m²,2,,,https://www.argenprop.com/departamento-en-alquiler-en-nordelta-bahia-grande-2-ambientes--7566707,"Departamento en Alquiler en Nordelta Bahía Grande, Nordelta"
Departamento,Alquiler,Buenos Aires,Tigre,Nordelta,,1,USD,1000,71 m²,2,,,https://www.argenprop.com/departamento-en-alquiler-en-nordelta-2-ambientes--7570311,"Departamento en Alquiler en Nordelta, Tigre"
Casa,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Castaños,3,USD,395000,219 m²,A Estrenar,4,,https://www.argenprop.com/casa-en-venta-en-nordelta-castanos-4-ambientes--7300665,"Casa en Venta en Nordelta Castaños, Nordelta"
Casa,Venta,Buenos Aires,Tigre,Nordelta,Otros barrios de Nordelta,5,USD,1450000,379 m²,A Estrenar,5,Con dependencia,https://www.argenprop.com/casa-en-venta-en-otros-barrios-de-nordelta-6-ambientes--6779187,"Casa en Venta en Otros barrios de Nordelta, Nordelta"
Casa,Venta,Buenos Aires,Tigre,Nordelta,Otros barrios de Nordelta,5,USD,1450000,379 m²,A Estrenar,5,Con dependencia,https://www.argenprop.com/casa-en-venta-en-otros-barrios-de-nordelta-6-ambientes--6779189,"Casa en Venta en Otros barrios de Nordelta, Nordelta"
Terreno,Venta,Buenos Aires,Tigre,Nordelta,Nordelta La Isla,,USD,800000,,,,,https://www.argenprop.com/terreno-en-venta-en-nordelta-la-isla--6115911,"Terreno en Venta en Nordelta La Isla, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Otros barrios de Nordelta,2,USD,249000,75 m²,3 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-otros-barrios-de-nordelta-3-ambientes--6001131,"Departamento en Venta en Otros barrios de Nordelta, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Otros barrios de Nordelta,2,USD,250000,87 m²,A estrenar,2,,https://www.argenprop.com/departamento-en-venta-en-otros-barrios-de-nordelta-3-ambientes--4976658,"Departamento en Venta en Otros barrios de Nordelta, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Otros barrios de Nordelta,2,USD,250000,81 m²,A estrenar,2,,https://www.argenprop.com/departamento-en-venta-en-otros-barrios-de-nordelta-3-ambientes--4978217,"Departamento en Venta en Otros barrios de Nordelta, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Otros barrios de Nordelta,2,USD,225000,75 m²,A estrenar,1,,https://www.argenprop.com/departamento-en-venta-en-otros-barrios-de-nordelta-3-ambientes--4978215,"Departamento en Venta en Otros barrios de Nordelta, Nordelta"
Oficina,Venta,Buenos Aires,Tigre,Nordelta,Otros barrios de Nordelta,,USD,95000,40 m²,Con cochera,1 año,Excelente,https://www.argenprop.com/oficina-en-venta-en-otros-barrios-de-nordelta--6241412,"Oficina en Venta en Otros barrios de Nordelta, Nordelta"
Terreno,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Virazón,,USD,385000,,,,,https://www.argenprop.com/terreno-en-venta-en-nordelta-virazon--7101830,"Terreno en Venta en Nordelta Virazón, Nordelta"
Terreno,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Castaños,,USD,360000,,,,,https://www.argenprop.com/terreno-en-venta-en-nordelta-castanos--6634125,"Terreno en Venta en Nordelta Castaños, Nordelta"
